Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-01-05,10:00,,58,33,,,,,
2012-01-05,11:00,,67,29,,,,,
2012-01-05,12:00,,84,40,,,,,
2012-01-05,13:00,,73,42,,,,,
2012-01-05,14:00,,78,54,,,,,
2012-01-05,15:00,,89,56,,,,,
2012-01-05,16:00,,102,62,,,,,
2012-01-05,17:00,,120,61,,,,,
2012-01-05,18:00,,98,51,,,,,
2012-01-05,19:00,,59,34,,,,,
2012-01-05,20:00,,27,21,,,,,
2012-01-05,21:00,,14,14,,,,,
2012-01-05,22:00,,19,17,,,,,
2012-01-05,23:00,,13,13,,,,,
2012-01-06,,,,,,10,,4.03,
2012-01-06,00:00,,3,6,,,,,
2012-01-06,01:00,,3,5,,,,,
2012-01-06,02:00,,1,5,,,,,
2012-01-06,03:00,,1,4,,,,,
2012-01-06,04:00,,1,4,,,,,
2012-01-06,05:00,,3,5,,,,,
2012-01-06,06:00,,9,8,,,,,
2012-01-06,07:00,,26,23,,,,,
2012-01-06,08:00,,35,26,,,,,
2012-01-06,09:00,,35,25,,,,,
2012-01-06,10:00,,31,29,,,,,
2012-01-06,11:00,,30,35,,,,,
2012-01-06,12:00,,29,32,,,,,
2012-01-06,13:00,,35,23,,,,,
2012-01-06,14:00,,29,25,,,,,
2012-01-06,15:00,,37,29,,,,,
2012-01-06,16:00,,56,40,,,,,
2012-01-06,17:00,,73,43,,,,,
2012-01-06,18:00,,73,39,,,,,
2012-01-06,19:00,,52,35,,,,,
2012-01-06,20:00,,62,45,,,,,
2012-01-06,21:00,,38,38,,,,,
2012-01-06,22:00,,36,32,,,,,
2012-01-06,23:00,,37,31,,,,,
2012-01-07,,,,,,10,,5.23,
2012-01-07,00:00,,27,26,,,,,
2012-01-07,01:00,,22,21,,,,,
2012-01-07,02:00,,14,14,,,,,
2012-01-07,03:00,,8,11,,,,,
2012-01-07,04:00,,9,8,,,,,
2012-01-07,05:00,,12,12,,,,,
2012-01-07,06:00,,23,19,,,,,
2012-01-07,07:00,,108,33,,,,,
2012-01-07,08:00,,34,23,,,,,
2012-01-07,09:00,,33,24,,,,,
2012-01-07,10:00,,48,25,,,,,
2012-01-07,11:00,,50,30,,,,,
2012-01-07,12:00,,61,33,,,,,
2012-01-07,13:00,,64,41,,,,,
2012-01-07,14:00,,64,40,,,,,
2012-01-07,15:00,,65,39,,,,,
2012-01-07,16:00,,58,40,,,,,
2012-01-07,17:00,,68,42,,,,,
2012-01-07,18:00,,103,48,,,,,
2012-01-07,19:00,,63,42,,,,,
2012-01-07,20:00,,55,35,,,,,
2012-01-07,21:00,,21,21,,,,,
2012-01-07,22:00,,11,15,,,,,
2012-01-07,23:00,,9,12,,,,,
2012-01-08,,,,,,7,,3.89,
2012-01-08,00:00,,4,8,,,,,
2012-01-08,01:00,,5,7,,,,,
2012-01-08,02:00,,5,7,,,,,
2012-01-08,03:00,,4,7,,,,,
2012-01-08,04:00,,7,6,,,,,
2012-01-08,05:00,,6,6,,,,,
2012-01-08,06:00,,8,7,,,,,
2012-01-08,07:00,,12,9,,,,,
2012-01-08,08:00,,12,12,,,,,
2012-01-08,09:00,,28,18,,,,,
2012-01-08,10:00,,35,26,,,,,
2012-01-08,11:00,,49,34,,,,,
2012-01-08,12:00,,46,36,,,,,
2012-01-08,13:00,,45,33,,,,,
2012-01-08,14:00,,46,30,,,,,
2012-01-08,15:00,,53,36,,,,,
2012-01-08,16:00,,64,40,,,,,
2012-01-08,17:00,,34,29,,,,,
2012-01-08,18:00,,39,32,,,,,
2012-01-08,19:00,,27,27,,,,,
2012-01-08,20:00,,18,22,,,,,
2012-01-08,21:00,,11,18,,,,,
2012-01-08,22:00,,5,12,,,,,
2012-01-08,23:00,,3,9,,,,,
2012-01-09,,,,,,12,,7.32,
2012-01-09,00:00,,5,10,,,,,
2012-01-09,01:00,,6,10,,,,,
2012-01-09,02:00,,1,6,,,,,
2012-01-09,03:00,,3,9,,,,,
2012-01-09,04:00,,3,7,,,,,
2012-01-09,05:00,,5,9,,,,,
2012-01-09,06:00,,17,17,,,,,
2012-01-09,07:00,,33,27,,,,,
2012-01-09,08:00,,56,43,,,,,
2012-01-09,09:00,,99,56,,,,,
2012-01-09,10:00,,125,70,,,,,
2012-01-09,11:00,,90,54,,,,,
2012-01-09,12:00,,76,50,,,,,
2012-01-09,13:00,,115,65,,,,,
2012-01-09,14:00,,82,51,,,,,
2012-01-09,15:00,,72,49,,,,,
2012-01-09,16:00,,133,67,,,,,
2012-01-09,17:00,,206,90,,,,,
2012-01-09,18:00,,150,80,,,,,
2012-01-09,19:00,,207,100,,,,,
2012-01-09,20:00,,92,65,,,,,
2012-01-09,21:00,,42,40,,,,,
2012-01-09,22:00,,42,37,,,,,
2012-01-09,23:00,,20,27,,,,,
2012-01-10,,,,,,23,,8.16,
2012-01-10,00:00,,13,20,,,,,
2012-01-10,01:00,,6,15,,,,,
2012-01-10,02:00,,3,11,,,,,
2012-01-10,03:00,,1,11,,,,,
2012-01-10,04:00,,1,5,,,,,
2012-01-10,05:00,,2,5,,,,,
2012-01-10,06:00,,11,10,,,,,
