Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-02-08,17:00,,3,11,,,,,
2009-02-08,18:00,,28,42,,,,,
2009-02-08,19:00,,37,46,,,,,
2009-02-08,20:00,,42,49,,,,,
2009-02-08,21:00,,25,41,,,,,
2009-02-08,22:00,,23,33,,,,,
2009-02-08,23:00,,39,44,,,,,
2009-02-09,,,,,,25,,,
2009-02-09,00:00,,29,37,,,,,
2009-02-09,01:00,,9,27,,,,,
2009-02-09,02:00,,17,29,,,,,
2009-02-09,03:00,,5,18,,,,,
2009-02-09,04:00,,10,27,,,,,
2009-02-09,05:00,,53,42,,,,,
2009-02-09,06:00,,92,57,,,,,
2009-02-09,07:00,,59,53,,,,,
2009-02-09,08:00,,79,54,,,,,
2009-02-09,09:00,,56,45,,,,,
2009-02-09,10:00,,46,36,,,,,
2009-02-09,11:00,,23,26,,,,,
2009-02-09,12:00,,21,21,,,,,
2009-02-09,13:00,,34,28,,,,,
2009-02-09,14:00,,28,29,,,,,
2009-02-09,15:00,,28,29,,,,,
2009-02-09,16:00,,39,37,,,,,
2009-02-09,17:00,,25,32,,,,,
2009-02-09,18:00,,17,31,,,,,
2009-02-09,19:00,,27,34,,,,,
2009-02-09,20:00,,28,35,,,,,
2009-02-09,21:00,,11,26,,,,,
2009-02-09,22:00,,3,19,,,,,
2009-02-09,23:00,,4,22,,,,,
2009-02-10,,,,,,7,,,
2009-02-10,00:00,,2,22,,,,,
2009-02-10,01:00,,1,17,,,,,
2009-02-10,02:00,,1,14,,,,,
2009-02-10,03:00,,2,13,,,,,
2009-02-10,04:00,,5,14,,,,,
2009-02-10,05:00,,5,13,,,,,
2009-02-10,06:00,,12,17,,,,,
2009-02-10,07:00,,20,22,,,,,
2009-02-10,08:00,,35,29,,,,,
2009-02-10,09:00,,30,26,,,,,
2009-02-10,10:00,,21,24,,,,,
