Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-02-13,03:00,,1,10,67,,,,
2009-02-13,04:00,,1,9,68,,,,
2009-02-13,05:00,,1,8,72,,,,
2009-02-13,06:00,,3,13,67,,,,
2009-02-13,07:00,,8,23,53,,,,
2009-02-13,08:00,,5,21,54,,,,
2009-02-13,09:00,,8,21,54,,,,
2009-02-13,10:00,,12,24,56,,,,
2009-02-13,11:00,,11,17,63,,,,
2009-02-13,12:00,,7,14,70,,,,
2009-02-13,13:00,,8,14,71,,,,
2009-02-13,14:00,,11,14,73,,,,
2009-02-13,15:00,,12,18,71,,,,
2009-02-13,16:00,,10,19,67,,,,
2009-02-13,17:00,,13,28,60,,,,
2009-02-13,18:00,,54,72,23,,,,
2009-02-13,19:00,,46,74,21,,,,
2009-02-13,20:00,,11,44,36,,,,
2009-02-13,21:00,,5,30,44,,,,
2009-02-13,22:00,,4,24,47,,,,
2009-02-13,23:00,,2,22,45,,,,
2009-02-14,00:00,,1,19,43,,,,
2009-02-14,01:00,,1,18,41,,,,
2009-02-14,02:00,,1,13,47,,,,
2009-02-14,03:00,,1,14,43,,,,
2009-02-14,04:00,,1,20,35,,,,
2009-02-14,05:00,,1,14,51,,,,
2009-02-14,06:00,,2,15,50,,,,
2009-02-14,07:00,,3,17,49,,,,
2009-02-14,08:00,,14,38,25,,,,
2009-02-14,09:00,,32,49,23,,,,
2009-02-14,10:00,,4,14,54,,,,
2009-02-14,11:00,,7,16,53,,,,
2009-02-14,12:00,,6,17,53,,,,
2009-02-14,13:00,,3,12,58,,,,
2009-02-14,14:00,,5,14,57,,,,
2009-02-14,15:00,,6,15,57,,,,
2009-02-14,16:00,,9,18,52,,,,
2009-02-14,17:00,,2,15,54,,,,
2009-02-14,18:00,,2,15,55,,,,
2009-02-14,19:00,,3,18,53,,,,
2009-02-14,20:00,,4,16,56,,,,
2009-02-14,21:00,,1,15,56,,,,
2009-02-14,22:00,,1,14,55,,,,
2009-02-14,23:00,,1,13,53,,,,
2009-02-15,00:00,,1,14,51,,,,
2009-02-15,01:00,,1,12,53,,,,
2009-02-15,02:00,,1,11,54,,,,
2009-02-15,03:00,,1,10,56,,,,
2009-02-15,04:00,,1,8,62,,,,
2009-02-15,05:00,,1,6,65,,,,
2009-02-15,06:00,,1,7,61,,,,
2009-02-15,07:00,,1,9,58,,,,
2009-02-15,08:00,,1,12,57,,,,
2009-02-15,09:00,,5,13,60,,,,
2009-02-15,10:00,,6,12,65,,,,
2009-02-15,11:00,,7,11,68,,,,
2009-02-15,12:00,,6,11,66,,,,
2009-02-15,13:00,,3,8,70,,,,
2009-02-15,14:00,,2,7,74,,,,
2009-02-15,15:00,,1,7,73,,,,
2009-02-15,16:00,,5,11,71,,,,
2009-02-15,17:00,,6,14,68,,,,
2009-02-15,18:00,,6,16,65,,,,
2009-02-15,19:00,,6,16,62,,,,
2009-02-15,20:00,,3,14,63,,,,
2009-02-15,21:00,,3,13,61,,,,
2009-02-15,22:00,,2,14,56,,,,
2009-02-15,23:00,,2,15,52,,,,
2009-02-16,00:00,,1,14,53,,,,
2009-02-16,01:00,,1,13,55,,,,
2009-02-16,02:00,,1,13,55,,,,
2009-02-16,03:00,,1,12,55,,,,
2009-02-16,04:00,,3,13,54,,,,
2009-02-16,05:00,,2,15,51,,,,
2009-02-16,06:00,,11,21,43,,,,
2009-02-16,07:00,,18,25,37,,,,
2009-02-16,08:00,,19,29,31,,,,
2009-02-16,09:00,,22,31,28,,,,
2009-02-16,10:00,,20,27,29,,,,
2009-02-16,11:00,,30,27,29,,,,
2009-02-16,12:00,,24,27,30,,,,
2009-02-16,13:00,,24,28,29,,,,
2009-02-16,14:00,,23,29,30,,,,
2009-02-16,15:00,,25,32,28,,,,
2009-02-16,16:00,,12,27,37,,,,
2009-02-16,17:00,,4,24,45,,,,
2009-02-16,18:00,,3,26,41,,,,
2009-02-16,19:00,,4,27,41,,,,
2009-02-16,20:00,,2,26,37,,,,
2009-02-16,21:00,,5,25,32,,,,
2009-02-16,22:00,,2,24,32,,,,
2009-02-16,23:00,,2,25,30,,,,
2009-02-17,00:00,,1,25,25,,,,
2009-02-17,01:00,,1,24,29,,,,
2009-02-17,02:00,,1,25,27,,,,
2009-02-17,03:00,,1,33,16,,,,
2009-02-17,04:00,,1,36,11,,,,
2009-02-17,05:00,,2,39,9,,,,
2009-02-17,06:00,,3,34,16,,,,
2009-02-17,07:00,,4,32,17,,,,
2009-02-17,08:00,,6,26,18,,,,
2009-02-17,09:00,,15,28,27,,,,
2009-02-17,10:00,,20,25,43,,,,
2009-02-17,11:00,,10,18,55,,,,
2009-02-17,12:00,,15,21,61,,,,
2009-02-17,13:00,,12,17,66,,,,
2009-02-17,14:00,,11,16,72,,,,
2009-02-17,15:00,,9,15,69,,,,
2009-02-17,16:00,,8,14,67,,,,
2009-02-17,17:00,,8,16,64,,,,
2009-02-17,18:00,,4,15,61,,,,
2009-02-17,19:00,,3,19,58,,,,
2009-02-17,20:00,,3,14,62,,,,
2009-02-17,21:00,,2,16,59,,,,
2009-02-17,22:00,,1,15,58,,,,
2009-02-17,23:00,,3,14,59,,,,
2009-02-18,00:00,,1,13,58,,,,
2009-02-18,01:00,,1,13,55,,,,
2009-02-18,02:00,,1,9,59,,,,
2009-02-18,03:00,,1,8,61,,,,
2009-02-18,04:00,,3,9,60,,,,
2009-02-18,05:00,,1,12,54,,,,
2009-02-18,06:00,,4,12,52,,,,
2009-02-18,07:00,,9,22,43,,,,
2009-02-18,08:00,,15,22,42,,,,
2009-02-18,09:00,,6,20,46,,,,
2009-02-18,10:00,,13,22,47,,,,
2009-02-18,11:00,,6,13,56,,,,
2009-02-18,12:00,,16,17,56,,,,
2009-02-18,13:00,,,,59,,,,
2009-02-18,14:00,,,,58,,,,
2009-02-18,15:00,,8,17,55,,,,
2009-02-18,16:00,,7,16,59,,,,
2009-02-18,17:00,,5,16,61,,,,
2009-02-18,18:00,,4,24,51,,,,
2009-02-18,19:00,,2,21,51,,,,
2009-02-18,20:00,,2,23,46,,,,
2009-02-18,21:00,,1,20,47,,,,
2009-02-18,22:00,,3,23,45,,,,
2009-02-18,23:00,,1,19,49,,,,
2009-02-19,00:00,,1,14,53,,,,
2009-02-19,01:00,,1,13,54,,,,
2009-02-19,02:00,,1,13,53,,,,
2009-02-19,03:00,,1,13,52,,,,
2009-02-19,04:00,,3,18,47,,,,
2009-02-19,05:00,,6,26,37,,,,
2009-02-19,06:00,,48,55,12,,,,
2009-02-19,07:00,,62,60,10,,,,
2009-02-19,08:00,,32,53,15,,,,
2009-02-19,09:00,,23,33,37,,,,
2009-02-19,10:00,,26,27,42,,,,
2009-02-19,11:00,,28,25,46,,,,
2009-02-19,12:00,,18,20,53,,,,
2009-02-19,13:00,,16,19,55,,,,
2009-02-19,14:00,,21,21,56,,,,
2009-02-19,15:00,,11,19,59,,,,
