Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2011-03-08,13:00,,49,58,,,,,
2011-03-08,14:00,,33,50,,,,,
2011-03-08,15:00,,53,65,,,,,
2011-03-08,16:00,,70,68,,,,,
2011-03-08,17:00,,66,65,,,,,
2011-03-08,18:00,,60,70,,,,,
2011-03-08,19:00,,57,71,,,,,
2011-03-08,20:00,,73,85,,,,,
2011-03-08,21:00,,55,82,,,,,
2011-03-08,22:00,,48,70,,,,,
2011-03-08,23:00,,44,80,,,,,
2011-03-09,,,,,,58,,29.05,
2011-03-09,00:00,,20,73,,,,,
2011-03-09,01:00,,18,61,,,,,
2011-03-09,02:00,,13,46,,,,,
2011-03-09,03:00,,16,44,,,,,
2011-03-09,04:00,,4,23,,,,,
2011-03-09,05:00,,22,45,,,,,
2011-03-09,06:00,,64,76,,,,,
2011-03-09,07:00,,140,102,,,,,
2011-03-09,08:00,,210,127,,,,,
2011-03-09,09:00,,135,99,,,,,
2011-03-09,10:00,,73,65,,,,,
2011-03-09,11:00,,55,54,,,,,
2011-03-09,12:00,,29,31,,,,,
2011-03-09,13:00,,51,45,,,,,
2011-03-09,14:00,,49,44,,,,,
2011-03-09,15:00,,39,42,,,,,
2011-03-09,16:00,,76,71,,,,,
2011-03-09,17:00,,58,59,,,,,
2011-03-09,18:00,,48,58,,,,,
2011-03-09,19:00,,36,49,,,,,
2011-03-09,20:00,,22,36,,,,,
2011-03-09,21:00,,17,33,,,,,
2011-03-09,22:00,,12,31,,,,,
2011-03-09,23:00,,13,36,,,,,
2011-03-10,,,,,,32,,14.25,
2011-03-10,00:00,,6,30,,,,,
2011-03-10,01:00,,5,26,,,,,
2011-03-10,02:00,,4,27,,,,,
2011-03-10,03:00,,2,13,,,,,
2011-03-10,04:00,,5,13,,,,,
2011-03-10,05:00,,16,30,,,,,
2011-03-10,06:00,,56,60,,,,,
2011-03-10,07:00,,118,91,,,,,
2011-03-10,08:00,,199,116,,,,,
2011-03-10,09:00,,203,113,,,,,
2011-03-10,10:00,,124,85,,,,,
2011-03-10,11:00,,87,60,,,,,
2011-03-10,12:00,,50,42,,,,,
2011-03-10,13:00,,52,39,,,,,
2011-03-10,14:00,,50,42,,,,,
2011-03-10,15:00,,47,36,,,,,
2011-03-10,16:00,,65,44,,,,,
2011-03-10,17:00,,53,45,,,,,
2011-03-10,18:00,,35,37,,,,,
2011-03-10,19:00,,49,54,,,,,
2011-03-10,20:00,,36,43,,,,,
2011-03-10,21:00,,27,37,,,,,
2011-03-10,22:00,,13,20,,,,,
2011-03-10,23:00,,5,10,,,,,
2011-03-11,,,,,,36,,15.00,
2011-03-11,00:00,,4,8,,,,,
2011-03-11,01:00,,3,5,,,,,
2011-03-11,02:00,,2,6,,,,,
2011-03-11,03:00,,3,6,,,,,
2011-03-11,04:00,,1,5,,,,,
2011-03-11,05:00,,3,7,,,,,
2011-03-11,06:00,,15,17,,,,,
2011-03-11,07:00,,41,35,,,,,
2011-03-11,08:00,,53,43,,,,,
2011-03-11,09:00,,46,39,,,,,
2011-03-11,10:00,,32,31,,,,,
2011-03-11,11:00,,42,33,,,,,
2011-03-11,12:00,,37,31,,,,,
2011-03-11,13:00,,41,39,,,,,
2011-03-11,14:00,,48,44,,,,,
2011-03-11,15:00,,64,62,,,,,
2011-03-11,16:00,,63,61,,,,,
2011-03-11,17:00,,78,75,,,,,
2011-03-11,18:00,,127,106,,,,,
2011-03-11,19:00,,136,110,,,,,
2011-03-11,20:00,,128,108,,,,,
2011-03-11,21:00,,95,96,,,,,
2011-03-11,22:00,,68,88,,,,,
2011-03-11,23:00,,48,67,,,,,
2011-03-12,,,,,,42,,22.20,
2011-03-12,00:00,,38,60,,,,,
2011-03-12,01:00,,23,48,,,,,
2011-03-12,02:00,,52,65,,,,,
2011-03-12,03:00,,28,60,,,,,
2011-03-12,04:00,,18,45,,,,,
2011-03-12,05:00,,27,51,,,,,
2011-03-12,06:00,,29,41,,,,,
2011-03-12,07:00,,36,48,,,,,
2011-03-12,08:00,,94,68,,,,,
2011-03-12,09:00,,52,50,,,,,
2011-03-12,10:00,,49,46,,,,,
2011-03-12,11:00,,40,44,,,,,
2011-03-12,12:00,,38,44,,,,,
2011-03-12,13:00,,33,44,,,,,
2011-03-12,14:00,,39,54,,,,,
2011-03-12,15:00,,28,43,,,,,
2011-03-12,16:00,,37,59,,,,,
2011-03-12,17:00,,36,55,,,,,
2011-03-12,18:00,,47,69,,,,,
2011-03-12,19:00,,48,75,,,,,
2011-03-12,20:00,,58,100,,,,,
2011-03-12,21:00,,44,82,,,,,
2011-03-12,22:00,,65,104,,,,,
2011-03-12,23:00,,47,90,,,,,
2011-03-13,,,,,,68,,42.91,
2011-03-13,00:00,,26,88,,,,,
2011-03-13,01:00,,30,77,,,,,
2011-03-13,02:00,,26,76,,,,,
2011-03-13,03:00,,17,60,,,,,
2011-03-13,04:00,,13,55,,,,,
2011-03-13,05:00,,10,42,,,,,
2011-03-13,06:00,,24,52,,,,,
