Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-07,13:00,0.9,8,8,,,,1.4
2016-10-07,14:00,0.8,8,10,,,,1.1
2016-10-07,15:00,0.8,9,13,,,,1.3
2016-10-07,16:00,1.2,12,14,,,,0.5
2016-10-07,17:00,1.1,14,16,,,,0.5
2016-10-07,18:00,1.9,7,13,,,,0.5
2016-10-07,19:00,1.2,4,10,,,,0.5
2016-10-07,20:00,1.1,4,7,,,,0.5
2016-10-07,21:00,1.1,5,6,,,,0.5
2016-10-07,22:00,1.1,4,5,,,,0.5
2016-10-07,23:00,0.9,4,6,,,,0.5
2016-10-08,,,,,,7,,
2016-10-08,00:00,0.7,2,4,,,,0.5
2016-10-08,01:00,0.7,1,4,,,,0.5
2016-10-08,02:00,0.6,1,3,,,,0.5
2016-10-08,03:00,0.6,1,5,,,,0.5
2016-10-08,04:00,0.5,1,6,,,,0.5
2016-10-08,05:00,0.4,1,4,,,,1.1
2016-10-08,06:00,0.2,1,5,,,,0.5
2016-10-08,07:00,0.2,1,8,,,,0.5
2016-10-08,08:00,0.3,2,12,,,,0.5
2016-10-08,09:00,0.9,4,14,,,,0.5
2016-10-08,10:00,1.0,5,16,,,,2.4
2016-10-08,11:00,0.6,8,17,,,,1.7
2016-10-08,12:00,0.8,3,11,,,,2.0
2016-10-08,13:00,0.8,4,12,,,,1.1
2016-10-08,14:00,0.6,5,12,,,,1.1
2016-10-08,15:00,0.7,4,12,,,,1.2
2016-10-08,16:00,0.7,2,12,,,,1.2
2016-10-08,17:00,0.6,3,18,,,,1.8
2016-10-08,18:00,1.0,3,19,,,,1.2
2016-10-08,19:00,0.8,2,15,,,,0.5
2016-10-08,20:00,0.7,1,14,,,,0.5
2016-10-08,21:00,0.8,1,11,,,,0.5
2016-10-08,22:00,0.6,1,11,,,,0.5
2016-10-08,23:00,0.4,1,8,,,,0.5
2016-10-09,,,,,,6,,
2016-10-09,00:00,0.3,1,7,,,,0.5
2016-10-09,01:00,0.3,1,8,,,,0.5
2016-10-09,02:00,0.2,1,6,,,,0.5
2016-10-09,03:00,0.2,1,5,,,,0.5
2016-10-09,04:00,0.3,1,5,,,,1.3
2016-10-09,05:00,0.2,1,6,,,,0.5
2016-10-09,06:00,0.3,1,7,,,,0.5
2016-10-09,07:00,0.3,1,9,,,,0.5
2016-10-09,08:00,0.5,1,12,,,,1.2
2016-10-09,09:00,0.4,2,9,,,,1.0
2016-10-09,10:00,0.4,2,10,,,,1.0
2016-10-09,11:00,0.4,3,11,,,,1.0
2016-10-09,12:00,1.0,2,8,,,,1.3
2016-10-09,13:00,0.9,2,7,,,,0.5
2016-10-09,14:00,0.5,2,8,,,,0.5
2016-10-09,15:00,0.6,3,8,,,,0.5
2016-10-09,16:00,1.5,1,5,,,,0.5
2016-10-09,17:00,0.3,7,14,,,,0.5
2016-10-09,18:00,0.6,3,12,,,,0.5
2016-10-09,19:00,0.6,2,8,,,,0.5
2016-10-09,20:00,1.1,6,9,,,,0.5
2016-10-09,21:00,2.1,6,8,,,,0.5
2016-10-09,22:00,1.5,2,9,,,,0.5
2016-10-09,23:00,0.9,1,7,,,,0.5
2016-10-10,,,,,,8,,
2016-10-10,00:00,0.5,4,10,,,,0.5
2016-10-10,01:00,0.4,1,7,,,,0.5
2016-10-10,02:00,0.5,6,5,,,,0.5
2016-10-10,03:00,0.5,2,3,,,,0.5
2016-10-10,04:00,,8,5,,,,0.5
2016-10-10,05:00,,11,6,,,,0.5
2016-10-10,06:00,,15,10,,,,0.5
2016-10-10,07:00,,12,9,,,,0.5
2016-10-10,08:00,,21,12,,,,0.5
2016-10-10,09:00,0.9,26,13,,,,0.5
2016-10-10,10:00,1.3,25,13,,,,0.5
2016-10-10,11:00,1.3,11,10,,,,2.5
2016-10-10,12:00,0.6,1,7,,,,4.1
2016-10-10,13:00,0.3,2,9,,,,2.8
2016-10-10,14:00,0.4,2,8,,,,1.3
2016-10-10,15:00,0.0,0,0,,,,0.0
2016-10-10,16:00,0.7,4,13,,,,1.3
2016-10-10,17:00,0.8,4,15,,,,1.6
2016-10-10,18:00,1.3,1,11,,,,0.5
2016-10-10,19:00,0.8,1,9,,,,0.5
2016-10-10,20:00,1.0,1,8,,,,0.5
2016-10-10,21:00,1.0,2,6,,,,0.5
2016-10-10,22:00,1.0,4,6,,,,0.5
2016-10-10,23:00,0.9,2,5,,,,0.5
2016-10-11,,,,,,10,,
2016-10-11,00:00,0.8,1,4,,,,0.5
2016-10-11,01:00,0.6,1,3,,,,0.5
2016-10-11,02:00,0.5,1,3,,,,0.5
2016-10-11,03:00,0.5,2,3,,,,0.5
2016-10-11,04:00,0.4,2,3,,,,0.5
2016-10-11,05:00,0.4,10,4,,,,0.5
2016-10-11,06:00,0.5,11,4,,,,0.5
2016-10-11,07:00,0.9,14,16,,,,0.5
2016-10-11,08:00,1.0,5,15,,,,0.5
2016-10-11,09:00,1.0,12,20,,,,0.5
2016-10-11,10:00,1.0,3,9,,,,0.5
2016-10-11,11:00,0.6,6,11,,,,1.5
2016-10-11,12:00,0.4,3,9,,,,2.0
2016-10-11,13:00,,4,11,,,,1.5
2016-10-11,14:00,,6,13,,,,1.0
2016-10-11,15:00,,6,15,,,,1.1
2016-10-11,16:00,,8,16,,,,1.5
2016-10-11,17:00,,4,14,,,,1.9
2016-10-11,18:00,,5,16,,,,1.5
2016-10-11,19:00,,3,16,,,,0.5
2016-10-11,20:00,,3,17,,,,0.5
2016-10-11,21:00,,1,12,,,,0.5
2016-10-11,22:00,,1,10,,,,0.5
2016-10-11,23:00,,1,9,,,,0.5
2016-10-12,,,,,,7,,
2016-10-12,00:00,,1,5,,,,0.5
2016-10-12,01:00,,1,3,,,,0.5
2016-10-12,02:00,,1,3,,,,0.5
2016-10-12,03:00,,1,4,,,,0.5
2016-10-12,04:00,,1,5,,,,0.5
2016-10-12,05:00,,7,10,,,,0.5
2016-10-12,06:00,,7,11,,,,0.5
2016-10-12,07:00,,18,12,,,,0.5
2016-10-12,08:00,,19,10,,,,0.5
2016-10-12,09:00,,14,11,,,,0.5
2016-10-12,10:00,,12,10,,,,0.5
2016-10-12,16:00,,8,15,,,,1.0
2016-10-12,17:00,,9,16,,,,1.0
2016-10-12,18:00,,6,16,,,,1.1
2016-10-12,19:00,,2,14,,,,0.5
2016-10-12,20:00,,1,8,,,,0.5
