Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-04,20:00,,35,21,,,,
2016-10-04,21:00,,32,15,,,,
2016-10-04,22:00,,20,12,,,,
2016-10-04,23:00,,15,8,,,,
2016-10-05,,,,,8,,
2016-10-05,00:00,,10,10,,,,
2016-10-05,01:00,,2,8,,,,
2016-10-05,02:00,,2,6,,,,
2016-10-05,03:00,,1,5,,,,
2016-10-05,04:00,,5,9,,,,
2016-10-05,05:00,,34,28,,,,
2016-10-05,06:00,,64,34,,,,
2016-10-05,07:00,,80,38,,,,
2016-10-05,08:00,,37,29,,,,
2016-10-05,09:00,,30,28,,,,
2016-10-05,10:00,,62,38,,,,
2016-10-05,11:00,,60,33,,,,
2016-10-05,12:00,,37,23,,,,
2016-10-05,13:00,,54,28,,,,
2016-10-05,14:00,,46,29,,,,
2016-10-05,15:00,,18,16,,,,
2016-10-05,16:00,,25,21,,,,
2016-10-05,17:00,,12,16,,,,
2016-10-05,18:00,,8,15,,,,
2016-10-05,19:00,,5,9,,,,
2016-10-05,20:00,,3,8,,,,
2016-10-05,21:00,,2,6,,,,
2016-10-05,22:00,,2,6,,,,
2016-10-05,23:00,,1,4,,,,
2016-10-06,00:00,,1,4,,,,
2016-10-06,01:00,,1,3,,,,
2016-10-06,02:00,,1,3,,,,
2016-10-06,03:00,,1,3,,,,
2016-10-06,04:00,,2,5,,,,
2016-10-06,05:00,,3,7,,,,
2016-10-06,06:00,,9,11,,,,
2016-10-06,07:00,,9,15,,,,
2016-10-06,08:00,,10,15,,,,
2016-10-06,09:00,,12,18,,,,
2016-10-06,10:00,,15,19,,,,
2016-10-06,11:00,,14,19,,,,
2016-10-06,12:00,,17,20,,,,
2016-10-06,13:00,,30,24,,,,
2016-10-06,14:00,,42,28,,,,
2016-10-06,15:00,,26,24,,,,
2016-10-06,16:00,,44,28,,,,
2016-10-06,17:00,,33,27,,,,
2016-10-06,18:00,,20,21,,,,
2016-10-06,19:00,,15,19,,,,
2016-10-06,20:00,,7,13,,,,
2016-10-06,21:00,,6,10,,,,
2016-10-06,22:00,,6,10,,,,
2016-10-06,23:00,,2,7,,,,
2016-10-07,00:00,,1,5,,,,
2016-10-07,01:00,,1,5,,,,
2016-10-07,02:00,,2,6,,,,
2016-10-07,03:00,,3,8,,,,
2016-10-07,04:00,,12,12,,,,
2016-10-07,05:00,,44,18,,,,
2016-10-07,06:00,,104,29,,,,
2016-10-07,07:00,,91,29,,,,
2016-10-07,08:00,,129,32,,,,
2016-10-07,09:00,,84,28,,,,
2016-10-07,10:00,,117,31,,,,
2016-10-07,11:00,,96,29,,,,
2016-10-07,12:00,,90,28,,,,
2016-10-07,13:00,,90,27,,,,
2016-10-07,14:00,,111,27,,,,
2016-10-07,15:00,,72,26,,,,
2016-10-07,16:00,,28,17,,,,
2016-10-07,17:00,,36,21,,,,
2016-10-07,18:00,,39,26,,,,
2016-10-07,19:00,,15,21,,,,
2016-10-07,20:00,,14,17,,,,
2016-10-07,21:00,,24,14,,,,
2016-10-07,22:00,,32,14,,,,
2016-10-07,23:00,,17,12,,,,
2016-10-08,,,,,9,,
2016-10-08,00:00,,16,12,,,,
2016-10-08,01:00,,24,12,,,,
2016-10-08,02:00,,5,14,,,,
2016-10-08,03:00,,2,14,,,,
2016-10-08,04:00,,8,11,,,,
2016-10-08,05:00,,3,9,,,,
2016-10-08,06:00,,7,12,,,,
2016-10-08,07:00,,3,13,,,,
2016-10-08,08:00,,14,18,,,,
2016-10-08,09:00,,17,18,,,,
2016-10-08,10:00,,16,16,,,,
2016-10-08,11:00,,45,34,,,,
2016-10-08,12:00,,51,34,,,,
2016-10-08,13:00,,16,19,,,,
2016-10-08,14:00,,14,18,,,,
2016-10-08,15:00,,8,16,,,,
2016-10-08,16:00,,10,14,,,,
2016-10-08,17:00,,15,20,,,,
2016-10-08,18:00,,17,23,,,,
2016-10-08,19:00,,6,17,,,,
2016-10-08,20:00,,5,18,,,,
2016-10-08,21:00,,7,17,,,,
2016-10-08,22:00,,5,13,,,,
2016-10-08,23:00,,4,10,,,,
2016-10-09,,,,,8,,
2016-10-09,00:00,,1,7,,,,
2016-10-09,01:00,,1,6,,,,
2016-10-09,02:00,,1,5,,,,
2016-10-09,03:00,,1,6,,,,
2016-10-09,04:00,,1,5,,,,
2016-10-09,05:00,,1,5,,,,
2016-10-09,06:00,,1,6,,,,
2016-10-09,07:00,,2,9,,,,
2016-10-09,08:00,,2,7,,,,
2016-10-09,09:00,,7,10,,,,
2016-10-09,10:00,,24,18,,,,
2016-10-09,11:00,,20,16,,,,
2016-10-09,12:00,,4,6,,,,
2016-10-09,13:00,,6,10,,,,
2016-10-09,14:00,,5,9,,,,
2016-10-09,15:00,,4,5,,,,
2016-10-09,16:00,,4,6,,,,
2016-10-09,17:00,,22,22,,,,
2016-10-09,18:00,,21,28,,,,
2016-10-09,19:00,,41,21,,,,
2016-10-09,20:00,,29,15,,,,
2016-10-09,21:00,,22,14,,,,
