Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2008-06-03,19:00,,6,32,,,,,
2008-06-03,20:00,,9,33,,,,,
2008-06-03,21:00,,6,32,,,,,
2008-06-03,22:00,,3,29,,,,,
2008-06-03,23:00,,3,22,,,,,
2008-06-04,,,,,,40,,,
2008-06-04,00:00,,3,19,,,,,
2008-06-04,01:00,,4,16,,,,,
2008-06-04,02:00,,1,12,,,,,
2008-06-04,03:00,,4,16,,,,,
2008-06-04,04:00,,5,15,,,,,
2008-06-04,05:00,,21,35,,,,,
2008-06-04,06:00,,19,36,,,,,
2008-06-04,07:00,,16,36,,,,,
2008-06-04,08:00,,31,51,,,,,
2008-06-04,09:00,,16,35,,,,,
2008-06-04,10:00,,44,57,,,,,
2008-06-04,11:00,,29,45,,,,,
2008-06-04,12:00,,28,39,,,,,
2008-06-04,13:00,,36,48,,,,,
2008-06-04,14:00,,27,41,,,,,
2008-06-04,15:00,,33,58,,,,,
2008-06-04,16:00,,20,47,,,,,
2008-06-04,17:00,,17,48,,,,,
2008-06-04,18:00,,2,25,,,,,
2008-06-04,19:00,,15,46,,,,,
2008-06-04,20:00,,6,39,,,,,
2008-06-04,21:00,,5,46,,,,,
2008-06-04,22:00,,6,43,,,,,
2008-06-04,23:00,,5,50,,,,,
2008-06-05,,,,,,28,,,
2008-06-05,00:00,,3,42,,,,,
2008-06-05,01:00,,6,40,,,,,
2008-06-05,02:00,,8,36,,,,,
2008-06-05,03:00,,12,31,,,,,
2008-06-05,04:00,,24,31,,,,,
2008-06-05,05:00,,70,32,,,,,
2008-06-05,06:00,,75,48,,,,,
2008-06-05,07:00,,76,59,,,,,
2008-06-05,08:00,,31,42,,,,,
2008-06-05,09:00,,41,46,,,,,
2008-06-05,10:00,,43,43,,,,,
2008-06-05,11:00,,38,46,,,,,
2008-06-05,12:00,,17,35,,,,,
2008-06-05,13:00,,13,31,,,,,
2008-06-05,14:00,,17,33,,,,,
2008-06-05,15:00,,18,35,,,,,
2008-06-05,16:00,,13,36,,,,,
2008-06-05,17:00,,13,33,,,,,
2008-06-05,18:00,,11,34,,,,,
2008-06-05,19:00,,8,28,,,,,
2008-06-05,20:00,,9,26,,,,,
2008-06-05,21:00,,7,25,,,,,
2008-06-05,22:00,,5,20,,,,,
2008-06-05,23:00,,3,24,,,,,
2008-06-06,,,,,,23,,,
2008-06-06,00:00,,1,26,,,,,
2008-06-06,01:00,,5,32,,,,,
2008-06-06,02:00,,1,29,,,,,
2008-06-06,03:00,,6,35,,,,,
2008-06-06,04:00,,18,39,,,,,
2008-06-06,05:00,,44,39,,,,,
2008-06-06,06:00,,34,43,,,,,
2008-06-06,07:00,,70,57,,,,,
2008-06-06,08:00,,34,47,,,,,
2008-06-06,09:00,,29,38,,,,,
2008-06-06,10:00,,27,39,,,,,
2008-06-06,11:00,,26,40,,,,,
2008-06-06,12:00,,17,31,,,,,
2008-06-06,13:00,,18,33,,,,,
2008-06-06,14:00,,14,35,,,,,
2008-06-06,15:00,,11,33,,,,,
2008-06-06,16:00,,12,33,,,,,
2008-06-06,17:00,,12,31,,,,,
2008-06-06,18:00,,11,40,,,,,
2008-06-06,19:00,,9,33,,,,,
2008-06-06,20:00,,7,32,,,,,
2008-06-06,21:00,,6,42,,,,,
2008-06-06,22:00,,4,50,,,,,
2008-06-06,23:00,,16,58,,,,,
2008-06-07,,,,,,25,,,
2008-06-07,00:00,,4,43,,,,,
2008-06-07,01:00,,4,38,,,,,
2008-06-07,02:00,,5,38,,,,,
2008-06-07,03:00,,6,39,,,,,
2008-06-07,04:00,,4,36,,,,,
2008-06-07,05:00,,6,34,,,,,
2008-06-07,06:00,,10,33,,,,,
2008-06-07,07:00,,18,35,,,,,
2008-06-07,08:00,,27,36,,,,,
2008-06-07,09:00,,13,30,,,,,
2008-06-07,10:00,,15,34,,,,,
2008-06-07,11:00,,14,30,,,,,
2008-06-07,12:00,,7,20,,,,,
2008-06-07,13:00,,7,21,,,,,
2008-06-07,14:00,,7,24,,,,,
2008-06-07,15:00,,4,19,,,,,
2008-06-07,16:00,,5,20,,,,,
2008-06-07,17:00,,4,19,,,,,
2008-06-07,18:00,,3,15,,,,,
2008-06-07,19:00,,3,18,,,,,
2008-06-07,20:00,,5,23,,,,,
2008-06-07,21:00,,1,21,,,,,
2008-06-07,22:00,,2,27,,,,,
2008-06-07,23:00,,12,51,,,,,
2008-06-08,,,,,,24,,,
2008-06-08,00:00,,11,45,,,,,
2008-06-08,01:00,,2,26,,,,,
2008-06-08,02:00,,3,24,,,,,
2008-06-08,03:00,,1,20,,,,,
2008-06-08,04:00,,3,21,,,,,
2008-06-08,05:00,,3,16,,,,,
2008-06-08,06:00,,4,17,,,,,
2008-06-08,07:00,,4,15,,,,,
2008-06-08,08:00,,3,16,,,,,
2008-06-08,09:00,,5,17,,,,,
2008-06-08,10:00,,6,18,,,,,
2008-06-08,11:00,,6,19,,,,,
2008-06-08,12:00,,8,18,,,,,
2008-06-08,13:00,,3,14,,,,,
2008-06-08,14:00,,6,17,,,,,
2008-06-08,15:00,,7,20,,,,,
2008-06-08,16:00,,4,20,,,,,
2008-06-08,17:00,,8,23,,,,,
2008-06-08,18:00,,7,22,,,,,
2008-06-08,19:00,,5,20,,,,,
2008-06-08,20:00,,6,22,,,,,
2008-06-08,21:00,,1,17,,,,,
2008-06-08,22:00,,12,34,,,,,
2008-06-08,23:00,,5,32,,,,,
2008-06-09,,,,,,27,,,
2008-06-09,00:00,,2,26,,,,,
2008-06-09,01:00,,3,29,,,,,
2008-06-09,02:00,,3,34,,,,,
2008-06-09,03:00,,3,27,,,,,
2008-06-09,04:00,,7,29,,,,,
2008-06-09,05:00,,20,43,,,,,
2008-06-09,06:00,,45,51,,,,,
2008-06-09,07:00,,54,55,,,,,
2008-06-09,08:00,,38,56,,,,,
2008-06-09,09:00,,40,56,,,,,
2008-06-09,10:00,,36,51,,,,,
2008-06-09,11:00,,17,37,,,,,
2008-06-09,12:00,,20,37,,,,,
2008-06-09,13:00,,27,44,,,,,
