Datum Zeit,Collmberg O3
,µg/m³
04-04-05 10:00,51
04-04-05 09:00,53
04-04-05 08:00,52
04-04-05 07:00,67
04-04-05 06:00,67
04-04-05 05:00,78
04-04-05 04:00,78
04-04-05 03:00,78
04-04-05 02:00,78
04-04-05 01:00,78
04-04-05 00:00,84
03-04-05 23:00,89
03-04-05 22:00,95
03-04-05 21:00,98
03-04-05 20:00,103
03-04-05 19:00,97
03-04-05 18:00,96
03-04-05 17:00,104
03-04-05 16:00,111
03-04-05 15:00,115
03-04-05 14:00,119
03-04-05 13:00,114
03-04-05 12:00,104
03-04-05 11:00,97
03-04-05 10:00,97
03-04-05 09:00,94
03-04-05 08:00,89
03-04-05 07:00,98
03-04-05 06:00,98
03-04-05 05:00,96
03-04-05 04:00,92
03-04-05 03:00,87
03-04-05 02:00,91
03-04-05 01:00,93
03-04-05 00:00,87
02-04-05 23:00,84
02-04-05 22:00,90
02-04-05 21:00,97
02-04-05 20:00,99
02-04-05 19:00,110
02-04-05 18:00,118
02-04-05 17:00,119
02-04-05 16:00,116
02-04-05 15:00,118
02-04-05 14:00,118
02-04-05 13:00,111
02-04-05 12:00,105
02-04-05 11:00,100
02-04-05 10:00,70
02-04-05 09:00,68
02-04-05 08:00,73
02-04-05 07:00,72
02-04-05 06:00,72
02-04-05 05:00,75
02-04-05 04:00,83
02-04-05 03:00,82
02-04-05 02:00,90
02-04-05 01:00,82
02-04-05 00:00,83
01-04-05 23:00,88
01-04-05 22:00,95
01-04-05 21:00,98
01-04-05 20:00,105
01-04-05 19:00,109
01-04-05 18:00,112
01-04-05 17:00,115
01-04-05 16:00,113
01-04-05 15:00,110
01-04-05 14:00,106
01-04-05 13:00,103
01-04-05 12:00,103
01-04-05 11:00,89
01-04-05 10:00,79
01-04-05 09:00,78
01-04-05 08:00,72
01-04-05 07:00,74
01-04-05 06:00,77
01-04-05 05:00,81
01-04-05 04:00,84
01-04-05 03:00,84
01-04-05 02:00,92
01-04-05 01:00,90

