Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-10-03,15:00,,2,7,75,,,,
2012-10-03,16:00,,2,6,73,,,,
2012-10-03,17:00,,1,6,74,,,,
2012-10-03,18:00,,1,10,65,,,,
2012-10-03,19:00,,1,12,55,,,,
2012-10-03,20:00,,1,13,49,,,,
2012-10-03,21:00,,1,9,55,,,,
2012-10-03,22:00,,1,9,54,,,,
2012-10-03,23:00,,1,11,51,,,,
2012-10-04,,,,,,9,,4.30,
2012-10-04,00:00,,1,12,49,,,,
2012-10-04,01:00,,1,8,53,,,,
2012-10-04,02:00,,1,8,55,,,,
2012-10-04,03:00,,1,8,53,,,,
2012-10-04,04:00,,1,10,53,,,,
2012-10-04,05:00,,1,11,51,,,,
2012-10-04,06:00,,1,15,44,,,,
2012-10-04,07:00,,3,22,36,,,,
2012-10-04,08:00,,3,19,39,,,,
2012-10-04,09:00,,3,17,42,,,,
2012-10-04,10:00,,3,13,48,,,,
2012-10-04,11:00,,2,11,50,,,,
2012-10-04,12:00,,2,9,57,,,,
2012-10-04,13:00,,2,9,63,,,,
2012-10-04,14:00,,3,9,62,,,,
2012-10-04,15:00,,3,11,60,,,,
2012-10-04,16:00,,2,16,49,,,,
2012-10-04,17:00,,2,16,51,,,,
2012-10-04,18:00,,1,12,56,,,,
2012-10-04,19:00,,1,11,61,,,,
2012-10-04,20:00,,2,11,58,,,,
2012-10-04,21:00,,1,11,54,,,,
2012-10-04,22:00,,1,11,49,,,,
2012-10-04,23:00,,1,12,46,,,,
2012-10-05,,,,,,8,,4.66,
2012-10-05,00:00,,1,12,44,,,,
2012-10-05,01:00,,1,13,40,,,,
2012-10-05,02:00,,1,12,38,,,,
2012-10-05,03:00,,1,13,34,,,,
2012-10-05,04:00,,1,14,30,,,,
2012-10-05,05:00,,2,15,27,,,,
2012-10-05,06:00,,2,18,27,,,,
2012-10-05,07:00,,2,15,33,,,,
2012-10-05,08:00,,2,14,34,,,,
2012-10-05,09:00,,5,21,27,,,,
2012-10-05,10:00,,5,19,32,,,,
2012-10-05,11:00,,4,16,39,,,,
2012-10-05,12:00,,2,11,49,,,,
2012-10-05,13:00,,2,10,49,,,,
2012-10-05,14:00,,4,13,45,,,,
2012-10-05,15:00,,3,9,51,,,,
2012-10-05,16:00,,3,9,50,,,,
2012-10-05,17:00,,3,9,50,,,,
2012-10-05,18:00,,2,10,49,,,,
2012-10-05,19:00,,2,10,47,,,,
2012-10-05,20:00,,1,9,47,,,,
2012-10-05,21:00,,1,9,43,,,,
2012-10-05,22:00,,1,9,47,,,,
2012-10-05,23:00,,1,10,41,,,,
2012-10-06,,,,,,7,,5.06,
2012-10-06,00:00,,1,12,33,,,,
2012-10-06,01:00,,1,10,32,,,,
2012-10-06,02:00,,1,9,38,,,,
2012-10-06,03:00,,1,9,30,,,,
2012-10-06,04:00,,1,7,30,,,,
2012-10-06,05:00,,1,10,26,,,,
2012-10-06,06:00,,1,11,30,,,,
2012-10-06,07:00,,2,9,37,,,,
2012-10-06,08:00,,2,10,37,,,,
2012-10-06,09:00,,3,10,41,,,,
2012-10-06,10:00,,3,10,48,,,,
2012-10-06,11:00,,3,9,56,,,,
2012-10-06,12:00,,2,9,61,,,,
2012-10-06,13:00,,2,9,65,,,,
2012-10-06,14:00,,2,9,75,,,,
2012-10-06,15:00,,2,8,81,,,,
2012-10-06,16:00,,2,10,65,,,,
2012-10-06,17:00,,1,10,53,,,,
2012-10-06,18:00,,1,10,56,,,,
2012-10-06,19:00,,1,12,53,,,,
2012-10-06,20:00,,1,11,54,,,,
2012-10-06,21:00,,1,12,47,,,,
2012-10-06,22:00,,1,12,45,,,,
2012-10-06,23:00,,1,13,38,,,,
2012-10-07,,,,,,7,,3.72,
2012-10-07,00:00,,1,13,26,,,,
2012-10-07,01:00,,1,15,17,,,,
2012-10-07,02:00,,1,13,20,,,,
2012-10-07,03:00,,1,12,19,,,,
2012-10-07,04:00,,2,14,16,,,,
2012-10-07,05:00,,1,12,17,,,,
2012-10-07,06:00,,1,12,16,,,,
2012-10-07,07:00,,1,12,23,,,,
2012-10-07,08:00,,2,13,25,,,,
2012-10-07,09:00,,2,13,26,,,,
2012-10-07,10:00,,3,11,37,,,,
2012-10-07,11:00,,2,8,50,,,,
2012-10-07,12:00,,2,6,58,,,,
2012-10-07,13:00,,1,5,62,,,,
2012-10-07,14:00,,1,5,67,,,,
2012-10-07,15:00,,1,5,71,,,,
2012-10-07,16:00,,2,6,70,,,,
2012-10-07,17:00,,2,7,68,,,,
2012-10-07,18:00,,2,11,59,,,,
2012-10-07,19:00,,1,9,54,,,,
2012-10-07,20:00,,1,8,53,,,,
2012-10-07,21:00,,1,8,52,,,,
2012-10-07,22:00,,1,8,52,,,,
2012-10-07,23:00,,1,9,48,,,,
2012-10-08,,,,,,14,,5.90,
2012-10-08,00:00,,1,14,40,,,,
2012-10-08,01:00,,1,12,38,,,,
2012-10-08,02:00,,1,13,36,,,,
2012-10-08,03:00,,1,9,45,,,,
2012-10-08,04:00,,1,13,41,,,,
2012-10-08,05:00,,2,15,38,,,,
2012-10-08,06:00,,5,23,29,,,,
2012-10-08,07:00,,9,28,24,,,,
2012-10-08,08:00,,11,28,21,,,,
2012-10-08,09:00,,9,25,25,,,,
2012-10-08,10:00,,8,19,32,,,,
2012-10-08,11:00,,6,17,41,,,,
2012-10-08,12:00,,4,11,58,,,,
2012-10-08,13:00,,4,12,63,,,,
2012-10-08,14:00,,3,10,67,,,,
2012-10-08,15:00,,4,13,67,,,,
2012-10-08,16:00,,4,13,67,,,,
2012-10-08,17:00,,4,18,61,,,,
2012-10-08,18:00,,1,19,51,,,,
2012-10-08,19:00,,7,53,15,,,,
2012-10-08,20:00,,4,55,9,,,,
2012-10-08,21:00,,1,42,17,,,,
2012-10-08,22:00,,2,40,14,,,,
2012-10-08,23:00,,4,41,8,,,,
2012-10-09,,,,,,16,,7.72,
2012-10-09,00:00,,1,24,17,,,,
2012-10-09,01:00,,1,22,13,,,,
2012-10-09,02:00,,1,19,13,,,,
2012-10-09,03:00,,1,18,13,,,,
2012-10-09,04:00,,3,26,10,,,,
2012-10-09,05:00,,9,28,7,,,,
2012-10-09,06:00,,20,34,1,,,,
2012-10-09,07:00,,33,42,1,,,,
2012-10-09,08:00,,28,40,4,,,,
2012-10-09,09:00,,14,28,16,,,,
2012-10-09,10:00,,9,22,29,,,,
2012-10-09,11:00,,6,18,39,,,,
2012-10-09,12:00,,5,17,47,,,,
2012-10-09,13:00,,3,13,59,,,,
2012-10-09,14:00,,4,12,65,,,,
2012-10-09,15:00,,5,15,66,,,,
2012-10-09,16:00,,2,12,68,,,,
2012-10-09,17:00,,2,14,66,,,,
2012-10-09,18:00,,2,18,59,,,,
2012-10-09,19:00,,1,19,52,,,,
2012-10-09,20:00,,2,21,49,,,,
2012-10-09,21:00,,1,19,44,,,,
2012-10-09,22:00,,3,29,30,,,,
2012-10-09,23:00,,1,21,32,,,,
2012-10-10,,,,,,15,,6.33,
2012-10-10,00:00,,1,18,39,,,,
2012-10-10,01:00,,1,18,34,,,,
2012-10-10,02:00,,1,18,32,,,,
2012-10-10,03:00,,1,18,30,,,,
