Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-10-06,08:00,,29,26,,,,,
2012-10-06,09:00,,41,32,,,,,
2012-10-06,10:00,,35,31,,,,,
2012-10-06,11:00,,29,29,,,,,
2012-10-06,12:00,,14,20,,,,,
2012-10-06,13:00,,15,23,,,,,
2012-10-06,14:00,,20,29,,,,,
2012-10-06,15:00,,6,13,,,,,
2012-10-06,16:00,,6,12,,,,,
2012-10-06,17:00,,21,22,,,,,
2012-10-06,18:00,,18,22,,,,,
2012-10-06,19:00,,18,24,,,,,
2012-10-06,20:00,,2,13,,,,,
2012-10-06,21:00,,1,11,,,,,
2012-10-06,22:00,,4,14,,,,,
2012-10-06,23:00,,16,31,,,,,
2012-10-07,,,,,,12,,,
2012-10-07,00:00,,22,36,,,,,
2012-10-07,01:00,,18,34,,,,,
2012-10-07,02:00,,12,29,,,,,
2012-10-07,03:00,,17,31,,,,,
2012-10-07,04:00,,8,24,,,,,
2012-10-07,05:00,,13,30,,,,,
2012-10-07,06:00,,7,20,,,,,
2012-10-07,07:00,,2,15,,,,,
2012-10-07,08:00,,3,17,,,,,
2012-10-07,09:00,,19,22,,,,,
2012-10-07,10:00,,18,20,,,,,
2012-10-07,11:00,,12,14,,,,,
2012-10-07,12:00,,12,13,,,,,
2012-10-07,13:00,,11,13,,,,,
2012-10-07,14:00,,10,11,,,,,
2012-10-07,15:00,,8,9,,,,,
2012-10-07,16:00,,10,10,,,,,
2012-10-07,17:00,,8,11,,,,,
2012-10-07,18:00,,14,21,,,,,
2012-10-07,19:00,,2,17,,,,,
2012-10-07,20:00,,1,11,,,,,
2012-10-07,21:00,,2,13,,,,,
2012-10-07,22:00,,1,12,,,,,
2012-10-07,23:00,,1,7,,,,,
2012-10-08,,,,,,19,,,
2012-10-08,00:00,,1,10,,,,,
2012-10-08,01:00,,1,12,,,,,
2012-10-08,02:00,,1,14,,,,,
2012-10-08,03:00,,1,8,,,,,
2012-10-08,04:00,,1,8,,,,,
2012-10-08,05:00,,1,7,,,,,
2012-10-08,06:00,,2,20,,,,,
2012-10-08,07:00,,9,34,,,,,
2012-10-08,08:00,,16,34,,,,,
2012-10-08,09:00,,15,31,,,,,
2012-10-08,10:00,,16,27,,,,,
2012-10-08,11:00,,19,28,,,,,
2012-10-08,12:00,,17,21,,,,,
2012-10-08,13:00,,13,25,,,,,
2012-10-08,14:00,,17,25,,,,,
2012-10-08,15:00,,26,37,,,,,
2012-10-08,16:00,,26,35,,,,,
2012-10-08,17:00,,68,56,,,,,
2012-10-08,18:00,,85,85,,,,,
2012-10-08,19:00,,89,87,,,,,
2012-10-08,20:00,,62,72,,,,,
2012-10-08,21:00,,56,69,,,,,
2012-10-08,22:00,,38,60,,,,,
2012-10-08,23:00,,7,35,,,,,
2012-10-09,,,,,,25,,,
2012-10-09,00:00,,2,27,,,,,
2012-10-09,01:00,,1,21,,,,,
2012-10-09,02:00,,1,19,,,,,
2012-10-09,03:00,,6,27,,,,,
2012-10-09,04:00,,7,30,,,,,
2012-10-09,05:00,,31,37,,,,,
2012-10-09,06:00,,59,44,,,,,
2012-10-09,07:00,,97,50,,,,,
2012-10-09,08:00,,48,44,,,,,
2012-10-09,09:00,,33,37,,,,,
2012-10-09,10:00,,34,34,,,,,
2012-10-09,11:00,,23,30,,,,,
2012-10-09,12:00,,30,30,,,,,
2012-10-09,13:00,,30,31,,,,,
2012-10-09,14:00,,32,27,,,,,
2012-10-09,15:00,,23,27,,,,,
2012-10-09,16:00,,21,24,,,,,
2012-10-09,17:00,,28,32,,,,,
2012-10-09,18:00,,27,36,,,,,
2012-10-09,19:00,,22,31,,,,,
2012-10-09,20:00,,11,29,,,,,
2012-10-09,21:00,,5,30,,,,,
2012-10-09,22:00,,2,25,,,,,
2012-10-09,23:00,,4,27,,,,,
2012-10-10,,,,,,24,,,
2012-10-10,00:00,,1,17,,,,,
2012-10-10,01:00,,3,18,,,,,
2012-10-10,02:00,,2,24,,,,,
2012-10-10,03:00,,1,21,,,,,
2012-10-10,04:00,,1,24,,,,,
2012-10-10,05:00,,3,31,,,,,
2012-10-10,06:00,,66,48,,,,,
2012-10-10,07:00,,116,60,,,,,
2012-10-10,08:00,,102,60,,,,,
2012-10-10,09:00,,45,44,,,,,
2012-10-10,10:00,,21,36,,,,,
2012-10-10,11:00,,37,35,,,,,
2012-10-10,12:00,,13,26,,,,,
2012-10-10,13:00,,15,27,,,,,
2012-10-10,14:00,,19,28,,,,,
2012-10-10,15:00,,15,27,,,,,
2012-10-10,16:00,,9,25,,,,,
2012-10-10,17:00,,32,39,,,,,
2012-10-10,18:00,,22,40,,,,,
2012-10-10,19:00,,18,42,,,,,
2012-10-10,20:00,,3,31,,,,,
2012-10-10,21:00,,2,27,,,,,
2012-10-10,22:00,,1,24,,,,,
2012-10-10,23:00,,1,18,,,,,
2012-10-11,,,,,,23,,,
2012-10-11,00:00,,1,18,,,,,
2012-10-11,01:00,,1,19,,,,,
2012-10-11,02:00,,1,18,,,,,
2012-10-11,03:00,,1,17,,,,,
2012-10-11,04:00,,6,29,,,,,
2012-10-11,05:00,,17,36,,,,,
2012-10-11,06:00,,35,42,,,,,
2012-10-11,07:00,,85,51,,,,,
2012-10-11,08:00,,111,57,,,,,
2012-10-11,09:00,,102,52,,,,,
2012-10-11,10:00,,38,37,,,,,
2012-10-11,11:00,,65,46,,,,,
2012-10-11,12:00,,52,53,,,,,
2012-10-11,13:00,,49,58,,,,,
2012-10-11,14:00,,55,52,,,,,
2012-10-11,15:00,,51,55,,,,,
2012-10-11,16:00,,56,63,,,,,
2012-10-11,17:00,,54,63,,,,,
2012-10-11,18:00,,72,76,,,,,
2012-10-11,19:00,,62,72,,,,,
2012-10-11,20:00,,36,54,,,,,
2012-10-11,21:00,,21,38,,,,,
2012-10-11,22:00,,16,35,,,,,
2012-10-11,23:00,,12,38,,,,,
2012-10-12,,,,,,29,,,
2012-10-12,00:00,,6,34,,,,,
2012-10-12,01:00,,6,30,,,,,
2012-10-12,02:00,,4,27,,,,,
2012-10-12,03:00,,5,33,,,,,
2012-10-12,04:00,,6,34,,,,,
2012-10-12,05:00,,30,40,,,,,
