Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2014-01-04,23:00,,12,31,,,,,
2014-01-05,,,,,,12,,,
2014-01-05,00:00,,3,16,,,,,
2014-01-05,01:00,,2,10,,,,,
2014-01-05,02:00,,1,9,,,,,
2014-01-05,03:00,,1,9,,,,,
2014-01-05,04:00,,1,8,,,,,
2014-01-05,05:00,,1,9,,,,,
2014-01-05,06:00,,1,8,,,,,
2014-01-05,07:00,,3,12,,,,,
2014-01-05,08:00,,2,10,,,,,
2014-01-05,09:00,,5,10,,,,,
2014-01-05,10:00,,9,12,,,,,
2014-01-05,11:00,,12,15,,,,,
2014-01-05,12:00,,10,15,,,,,
2014-01-05,13:00,,6,11,,,,,
2014-01-05,14:00,,11,12,,,,,
2014-01-05,15:00,,12,13,,,,,
2014-01-05,16:00,,15,15,,,,,
2014-01-05,17:00,,17,23,,,,,
2014-01-05,18:00,,27,37,,,,,
2014-01-05,19:00,,32,45,,,,,
2014-01-05,20:00,,32,46,,,,,
2014-01-05,21:00,,26,39,,,,,
2014-01-05,22:00,,11,26,,,,,
2014-01-05,23:00,,5,18,,,,,
2014-01-06,,,,,,8,,,
2014-01-06,00:00,,2,13,,,,,
2014-01-06,01:00,,2,12,,,,,
2014-01-06,02:00,,2,10,,,,,
2014-01-06,03:00,,3,14,,,,,
2014-01-06,04:00,,5,17,,,,,
2014-01-06,05:00,,7,18,,,,,
2014-01-06,06:00,,33,36,,,,,
2014-01-06,07:00,,47,41,,,,,
2014-01-06,08:00,,82,56,,,,,
2014-01-06,09:00,,59,48,,,,,
2014-01-06,10:00,,41,31,,,,,
2014-01-06,11:00,,33,22,,,,,
2014-01-06,12:00,,27,24,,,,,
2014-01-06,13:00,,26,20,,,,,
2014-01-06,14:00,,26,21,,,,,
2014-01-06,15:00,,32,29,,,,,
2014-01-06,16:00,,37,31,,,,,
2014-01-06,17:00,,35,32,,,,,
2014-01-06,18:00,,24,24,,,,,
2014-01-06,19:00,,21,25,,,,,
2014-01-06,20:00,,16,23,,,,,
2014-01-06,21:00,,12,21,,,,,
2014-01-06,22:00,,4,14,,,,,
2014-01-06,23:00,,3,13,,,,,
2014-01-07,,,,,,12,,,
2014-01-07,00:00,,2,9,,,,,
2014-01-07,01:00,,1,8,,,,,
2014-01-07,02:00,,2,10,,,,,
2014-01-07,03:00,,2,10,,,,,
2014-01-07,04:00,,4,10,,,,,
2014-01-07,05:00,,7,12,,,,,
2014-01-07,06:00,,11,16,,,,,
2014-01-07,07:00,,33,28,,,,,
2014-01-07,08:00,,50,39,,,,,
2014-01-07,09:00,,47,40,,,,,
2014-01-07,10:00,,63,38,,,,,
2014-01-07,11:00,,48,32,,,,,
2014-01-07,12:00,,35,26,,,,,
2014-01-07,13:00,,31,26,,,,,
2014-01-07,14:00,,31,26,,,,,
2014-01-07,15:00,,35,32,,,,,
2014-01-07,16:00,,52,45,,,,,
2014-01-07,17:00,,78,59,,,,,
2014-01-07,18:00,,101,59,,,,,
2014-01-07,19:00,,58,48,,,,,
2014-01-07,20:00,,26,37,,,,,
2014-01-07,21:00,,16,29,,,,,
2014-01-07,22:00,,6,19,,,,,
2014-01-07,23:00,,5,20,,,,,
2014-01-08,,,,,,15,,,
2014-01-08,00:00,,3,20,,,,,
2014-01-08,01:00,,2,17,,,,,
2014-01-08,02:00,,1,15,,,,,
2014-01-08,03:00,,2,17,,,,,
2014-01-08,04:00,,12,26,,,,,
2014-01-08,05:00,,10,23,,,,,
2014-01-08,06:00,,24,30,,,,,
2014-01-08,07:00,,44,39,,,,,
2014-01-08,08:00,,46,35,,,,,
2014-01-08,09:00,,38,30,,,,,
2014-01-08,10:00,,43,30,,,,,
2014-01-08,11:00,,40,27,,,,,
2014-01-08,12:00,,28,21,,,,,
2014-01-08,13:00,,23,18,,,,,
2014-01-08,14:00,,32,24,,,,,
2014-01-08,15:00,,28,23,,,,,
2014-01-08,16:00,,76,55,,,,,
2014-01-08,17:00,,142,80,,,,,
2014-01-08,18:00,,92,73,,,,,
2014-01-08,19:00,,42,46,,,,,
2014-01-08,20:00,,20,30,,,,,
2014-01-08,21:00,,18,34,,,,,
2014-01-08,22:00,,14,27,,,,,
2014-01-08,23:00,,22,34,,,,,
2014-01-09,,,,,,11,,,
2014-01-09,00:00,,7,24,,,,,
2014-01-09,01:00,,3,20,,,,,
2014-01-09,02:00,,6,19,,,,,
2014-01-09,03:00,,4,18,,,,,
2014-01-09,04:00,,10,17,,,,,
2014-01-09,05:00,,14,24,,,,,
2014-01-09,06:00,,41,37,,,,,
2014-01-09,07:00,,53,37,,,,,
2014-01-09,08:00,,91,45,,,,,
2014-01-09,09:00,,73,46,,,,,
2014-01-09,10:00,,82,46,,,,,
2014-01-09,11:00,,53,37,,,,,
2014-01-09,12:00,,31,27,,,,,
2014-01-09,13:00,,39,33,,,,,
2014-01-09,14:00,,26,26,,,,,
2014-01-09,15:00,,28,27,,,,,
2014-01-09,16:00,,39,35,,,,,
2014-01-09,17:00,,39,36,,,,,
2014-01-09,18:00,,21,27,,,,,
2014-01-09,19:00,,16,24,,,,,
2014-01-09,20:00,,7,13,,,,,
2014-01-09,21:00,,4,7,,,,,
2014-01-09,22:00,,4,6,,,,,
2014-01-09,23:00,,2,4,,,,,
2014-01-10,,,,,,11,,,
2014-01-10,00:00,,1,5,,,,,
2014-01-10,01:00,,1,6,,,,,
2014-01-10,02:00,,2,6,,,,,
2014-01-10,03:00,,1,5,,,,,
2014-01-10,04:00,,3,7,,,,,
2014-01-10,05:00,,3,6,,,,,
2014-01-10,06:00,,8,11,,,,,
2014-01-10,07:00,,18,19,,,,,
2014-01-10,08:00,,46,35,,,,,
2014-01-10,09:00,,43,33,,,,,
2014-01-10,10:00,,50,35,,,,,
2014-01-10,11:00,,33,22,,,,,
2014-01-10,12:00,,31,21,,,,,
2014-01-10,13:00,,25,19,,,,,
2014-01-10,14:00,,33,23,,,,,
2014-01-10,15:00,,32,22,,,,,
2014-01-10,16:00,,29,26,,,,,
2014-01-10,17:00,,42,36,,,,,
2014-01-10,18:00,,45,41,,,,,
2014-01-10,19:00,,44,43,,,,,
2014-01-10,20:00,,35,44,,,,,
2014-01-10,21:00,,31,43,,,,,
2014-01-10,22:00,,19,35,,,,,
2014-01-10,23:00,,12,21,,,,,
2014-01-11,,,,,,12,,,
2014-01-11,00:00,,7,18,,,,,
2014-01-11,01:00,,3,11,,,,,
2014-01-11,02:00,,3,14,,,,,
2014-01-11,03:00,,4,13,,,,,
2014-01-11,04:00,,5,13,,,,,
2014-01-11,05:00,,3,11,,,,,
2014-01-11,06:00,,3,12,,,,,
2014-01-11,07:00,,4,12,,,,,
2014-01-11,08:00,,11,18,,,,,
2014-01-11,09:00,,13,19,,,,,
2014-01-11,10:00,,33,27,,,,,
2014-01-11,11:00,,30,25,,,,,
2014-01-11,12:00,,33,26,,,,,
2014-01-11,13:00,,32,29,,,,,
2014-01-11,14:00,,21,26,,,,,
2014-01-11,15:00,,19,25,,,,,
2014-01-11,16:00,,18,23,,,,,
2014-01-11,17:00,,19,26,,,,,
2014-01-11,18:00,,19,25,,,,,
2014-01-11,19:00,,9,16,,,,,
2014-01-11,20:00,,7,14,,,,,
2014-01-11,21:00,,3,9,,,,,
2014-01-11,22:00,,2,6,,,,,
2014-01-11,23:00,,3,4,,,,,
2014-01-12,,,,,,16,,,
2014-01-12,00:00,,2,7,,,,,
2014-01-12,01:00,,2,6,,,,,
