Datum Zeit,Bautzen WINDRI
,GRAD
11-02-19 14:00,265
11-02-19 13:00,259
11-02-19 12:00,260
11-02-19 11:00,263
11-02-19 10:00,263
11-02-19 09:00,263
11-02-19 08:00,264
11-02-19 07:00,257
11-02-19 06:00,253
11-02-19 05:00,247
11-02-19 04:00,245
11-02-19 03:00,237
11-02-19 02:00,231
11-02-19 01:00,233
11-02-19 00:00,210
10-02-19 23:00,196
10-02-19 22:00,181
10-02-19 21:00,175
10-02-19 20:00,180
10-02-19 19:00,176
10-02-19 18:00,181
10-02-19 17:00,180
10-02-19 16:00,177
10-02-19 15:00,177
10-02-19 14:00,177
10-02-19 13:00,181
10-02-19 12:00,177
10-02-19 11:00,175
10-02-19 10:00,178
10-02-19 09:00,178
10-02-19 08:00,179
10-02-19 07:00,187
10-02-19 06:00,192
10-02-19 05:00,195
10-02-19 04:00,194
10-02-19 03:00,202
10-02-19 02:00,217
10-02-19 01:00,226
10-02-19 00:00,229
09-02-19 23:00,231
09-02-19 22:00,215
09-02-19 21:00,227
09-02-19 20:00,227
09-02-19 19:00,225
09-02-19 18:00,228
09-02-19 17:00,235
09-02-19 16:00,235
09-02-19 15:00,229
09-02-19 14:00,230
09-02-19 13:00,229
09-02-19 12:00,203
09-02-19 11:00,201
09-02-19 10:00,201
09-02-19 09:00,200
09-02-19 08:00,186
09-02-19 07:00,182
09-02-19 06:00,196
09-02-19 05:00,172
09-02-19 04:00,191
09-02-19 03:00,170
09-02-19 02:00,180
09-02-19 01:00,177
09-02-19 00:00,177
08-02-19 23:00,179
08-02-19 22:00,184
08-02-19 21:00,212
08-02-19 20:00,213
08-02-19 19:00,202
08-02-19 18:00,192
08-02-19 17:00,189
08-02-19 16:00,182
08-02-19 15:00,185
08-02-19 14:00,185
08-02-19 13:00,185
08-02-19 12:00,188
08-02-19 11:00,188
08-02-19 10:00,183
08-02-19 09:00,191
08-02-19 08:00,198
08-02-19 07:00,194
08-02-19 06:00,191
08-02-19 05:00,194
08-02-19 04:00,203
08-02-19 03:00,203
08-02-19 02:00,204
08-02-19 01:00,204
08-02-19 00:00,214
07-02-19 23:00,208
07-02-19 22:00,199
07-02-19 21:00,197
07-02-19 20:00,193
07-02-19 19:00,193
07-02-19 18:00,189
07-02-19 17:00,188
07-02-19 16:00,190
07-02-19 15:00,190
07-02-19 14:00,187
07-02-19 13:00,185
07-02-19 12:00,170
07-02-19 11:00,209
07-02-19 10:00,192
07-02-19 09:00,231
07-02-19 08:00,237
07-02-19 07:00,218
07-02-19 06:00,259
07-02-19 05:00,253
07-02-19 04:00,244
07-02-19 03:00,218
07-02-19 02:00,194
07-02-19 01:00,184
07-02-19 00:00,188
06-02-19 23:00,183
06-02-19 22:00,187
06-02-19 21:00,191
06-02-19 20:00,185
06-02-19 19:00,188
06-02-19 18:00,187
06-02-19 17:00,185
06-02-19 16:00,186
06-02-19 15:00,198
06-02-19 14:00,194
06-02-19 13:00,195
06-02-19 12:00,193
06-02-19 11:00,190
06-02-19 10:00,195
06-02-19 09:00,185
06-02-19 08:00,191
06-02-19 07:00,217
06-02-19 06:00,229
06-02-19 05:00,230
06-02-19 04:00,234
06-02-19 03:00,235
06-02-19 02:00,233
06-02-19 01:00,240
06-02-19 00:00,241
05-02-19 23:00,248
05-02-19 22:00,242
05-02-19 21:00,234
05-02-19 20:00,256
05-02-19 19:00,242
05-02-19 18:00,244
05-02-19 17:00,246
05-02-19 16:00,223
05-02-19 15:00,201
05-02-19 14:00,198
05-02-19 13:00,207
05-02-19 12:00,220
05-02-19 11:00,209
05-02-19 10:00,198
05-02-19 09:00,191
05-02-19 08:00,194
05-02-19 07:00,226
05-02-19 06:00,184
05-02-19 05:00,180
05-02-19 04:00,200
05-02-19 03:00,209
