Datum Zeit,Leipzig-West CO
,mg/m3
10-05-00 01:00,0.1
10-05-00 00:00,0.1
09-05-00 23:00,0.1
09-05-00 22:00,0.1
09-05-00 21:00,0.1
09-05-00 20:00,0.1
09-05-00 19:00,0.1
09-05-00 18:00,0.1
09-05-00 17:00,0.1
09-05-00 16:00,0.1
09-05-00 15:00,0.1
09-05-00 14:00,0.1
09-05-00 13:00,0.1
09-05-00 12:00,0.2
09-05-00 11:00,0.2
09-05-00 10:00,0.4
09-05-00 09:00,0.2
09-05-00 08:00,0.2
09-05-00 07:00,0.3
09-05-00 06:00,0.1
09-05-00 05:00,0.1
09-05-00 04:00,0.1
09-05-00 03:00,0.1
09-05-00 02:00,0.1
09-05-00 01:00,0.1
09-05-00 00:00,0.1
08-05-00 23:00,0.1
08-05-00 22:00,
08-05-00 21:00,0.1
08-05-00 20:00,0.1
08-05-00 19:00,0.1
08-05-00 18:00,0.3
08-05-00 17:00,0.3
08-05-00 16:00,0.1
08-05-00 15:00,0.1
08-05-00 14:00,0.1
08-05-00 13:00,0.1
08-05-00 12:00,0.1
08-05-00 11:00,0.1
08-05-00 10:00,0.1
08-05-00 09:00,0.2
08-05-00 08:00,0.2
08-05-00 07:00,0.2
08-05-00 06:00,0.2
08-05-00 05:00,0.1
08-05-00 04:00,0.1
08-05-00 03:00,0.1
08-05-00 02:00,0.1
08-05-00 01:00,0.1
08-05-00 00:00,0.1
07-05-00 23:00,0.1
07-05-00 22:00,0.1
07-05-00 21:00,0.1
07-05-00 20:00,0.1
07-05-00 19:00,0.1
07-05-00 18:00,0.1
07-05-00 17:00,0.1
07-05-00 16:00,0.1
07-05-00 15:00,0.1
07-05-00 14:00,0.1
07-05-00 13:00,0.1
07-05-00 12:00,0.1
07-05-00 11:00,0.1
07-05-00 10:00,0.1
07-05-00 09:00,0.1
07-05-00 08:00,0.1
07-05-00 07:00,0.1
07-05-00 06:00,0.1
07-05-00 05:00,0.1
07-05-00 04:00,
07-05-00 03:00,0.1
07-05-00 02:00,0.1
07-05-00 01:00,0.1
07-05-00 00:00,0.1
06-05-00 23:00,0.1
06-05-00 22:00,0.1
06-05-00 21:00,0.1
06-05-00 20:00,0.1
06-05-00 19:00,0.1
06-05-00 18:00,0.1
06-05-00 17:00,0.1
06-05-00 16:00,0.1
06-05-00 15:00,0.1
06-05-00 14:00,0.1
06-05-00 13:00,0.1
06-05-00 12:00,0.1
06-05-00 11:00,0.1
06-05-00 10:00,0.1
06-05-00 09:00,0.1
06-05-00 08:00,0.1
06-05-00 07:00,0.1
06-05-00 06:00,0.1
06-05-00 05:00,0.1
06-05-00 04:00,0.1
06-05-00 03:00,0.1
06-05-00 02:00,0.1
06-05-00 01:00,0.1
06-05-00 00:00,0.1
05-05-00 23:00,0.1
05-05-00 22:00,0.1
05-05-00 21:00,0.1
05-05-00 20:00,0.1
05-05-00 19:00,0.1
05-05-00 18:00,0.1
05-05-00 17:00,0.1
05-05-00 16:00,0.1
05-05-00 15:00,0.1
05-05-00 14:00,0.1
05-05-00 13:00,0.1
05-05-00 12:00,0.1
05-05-00 11:00,0.1
05-05-00 10:00,0.2
05-05-00 09:00,0.2
05-05-00 08:00,0.2
05-05-00 07:00,0.2
05-05-00 06:00,0.1
05-05-00 05:00,0.1
05-05-00 04:00,
05-05-00 03:00,0.1
05-05-00 02:00,0.1
05-05-00 01:00,0.1
05-05-00 00:00,0.1
04-05-00 23:00,0.1
04-05-00 22:00,0.1
04-05-00 21:00,0.1
04-05-00 20:00,0.1
04-05-00 19:00,0.1
04-05-00 18:00,0.1
04-05-00 17:00,0.1
04-05-00 16:00,0.1
04-05-00 15:00,0.1
04-05-00 14:00,0.1
04-05-00 13:00,0.1
04-05-00 12:00,0.1
04-05-00 11:00,0.1
04-05-00 10:00,0.1
04-05-00 09:00,0.3
04-05-00 08:00,0.3
04-05-00 07:00,0.4
04-05-00 06:00,0.3
04-05-00 05:00,0.1
04-05-00 04:00,0.1
04-05-00 03:00,0.1
04-05-00 02:00,0.1
04-05-00 01:00,0.1
04-05-00 00:00,0.1
03-05-00 23:00,0.1
03-05-00 22:00,0.1
03-05-00 21:00,0.1
03-05-00 20:00,0.1
03-05-00 19:00,0.1
03-05-00 18:00,0.1
03-05-00 17:00,0.1
03-05-00 16:00,0.1
03-05-00 15:00,0.1
03-05-00 14:00,0.1
03-05-00 13:00,0.1
03-05-00 12:00,0.1
03-05-00 11:00,0.1
03-05-00 10:00,0.1
03-05-00 09:00,0.1
03-05-00 08:00,0.1
03-05-00 07:00,0.2
03-05-00 06:00,0.1
03-05-00 05:00,
03-05-00 04:00,0.1
03-05-00 03:00,0.1
03-05-00 02:00,0.1
03-05-00 01:00,0.1
03-05-00 00:00,0.1
02-05-00 23:00,0.1
02-05-00 22:00,0.1
02-05-00 21:00,0.1
02-05-00 20:00,0.1
02-05-00 19:00,0.1
02-05-00 18:00,0.1
02-05-00 17:00,0.1
02-05-00 16:00,0.1
02-05-00 15:00,0.1
02-05-00 14:00,0.2
02-05-00 13:00,0.1
02-05-00 12:00,0.1
02-05-00 11:00,0.1
02-05-00 10:00,0.1
02-05-00 09:00,0.1
02-05-00 08:00,0.2
02-05-00 07:00,0.2
02-05-00 06:00,0.2
02-05-00 05:00,0.1
02-05-00 04:00,0.1
02-05-00 03:00,0.1
02-05-00 02:00,0.1
02-05-00 01:00,0.1
02-05-00 00:00,0.1
01-05-00 23:00,0.1
01-05-00 22:00,0.1
01-05-00 21:00,0.1
01-05-00 20:00,0.1
01-05-00 19:00,0.1
01-05-00 18:00,0.1
01-05-00 17:00,0.1
01-05-00 16:00,0.1
01-05-00 15:00,0.1
01-05-00 14:00,0.1
01-05-00 13:00,0.1
01-05-00 12:00,0.1
01-05-00 11:00,0.1
01-05-00 10:00,0.1
01-05-00 09:00,0.1
01-05-00 08:00,0.1
01-05-00 07:00,0.1
01-05-00 06:00,0.1
01-05-00 05:00,
01-05-00 04:00,0.1
01-05-00 03:00,0.1
01-05-00 02:00,0.1
01-05-00 01:00,0.1

