Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2007-03-06,03:00,,,3,28,,,,,
2007-03-06,04:00,,,1,23,,,,,
2007-03-06,05:00,,,4,23,,,,,
2007-03-06,06:00,,,2,22,,,,,
2007-03-06,07:00,,,11,33,,,,,
2007-03-06,08:00,,,23,43,,,,,
2007-03-06,09:00,,,12,36,,,,,
2007-03-06,10:00,,,18,42,,,,,
2007-03-06,11:00,,,15,36,,,,,
2007-03-06,12:00,,,19,37,,,,,
2007-03-06,13:00,,,17,34,,,,,
2007-03-06,14:00,,,15,36,,,,,
2007-03-06,15:00,,,10,25,,,,,
2007-03-06,16:00,,,11,31,,,,,
2007-03-06,17:00,,,41,63,,,,,
2007-03-06,18:00,,,100,106,,,,,
2007-03-06,19:00,,,45,82,,,,,
2007-03-06,20:00,,,39,77,,,,,
2007-03-06,21:00,,,36,73,,,,,
2007-03-06,22:00,,,49,80,,,,,
2007-03-06,23:00,,,24,58,,,,,
2007-03-07,,,,,,,40,,,
2007-03-07,00:00,,,5,36,,,,,
2007-03-07,01:00,,,16,38,,,,,
2007-03-07,02:00,,,6,37,,,,,
2007-03-07,03:00,,,12,43,,,,,
2007-03-07,04:00,,,6,32,,,,,
2007-03-07,05:00,,,11,34,,,,,
2007-03-07,06:00,,,8,34,,,,,
2007-03-07,07:00,,,30,53,,,,,
2007-03-07,08:00,,,39,66,,,,,
2007-03-07,09:00,,,63,74,,,,,
2007-03-07,10:00,,,49,66,,,,,
2007-03-07,11:00,,,33,54,,,,,
2007-03-07,12:00,,,46,62,,,,,
2007-03-07,13:00,,,68,79,,,,,
2007-03-07,14:00,,,51,68,,,,,
2007-03-07,15:00,,,49,64,,,,,
2007-03-07,16:00,,,82,101,,,,,
2007-03-07,17:00,,,59,90,,,,,
2007-03-07,18:00,,,72,92,,,,,
2007-03-07,19:00,,,60,87,,,,,
2007-03-07,20:00,,,66,90,,,,,
2007-03-07,21:00,,,66,89,,,,,
2007-03-07,22:00,,,50,76,,,,,
2007-03-07,23:00,,,65,82,,,,,
2007-03-08,00:00,,,45,79,,,,,
2007-03-08,01:00,,,8,41,,,,,
2007-03-08,02:00,,,6,38,,,,,
2007-03-08,03:00,,,10,48,,,,,
2007-03-08,04:00,,,16,50,,,,,
2007-03-08,05:00,,,54,62,,,,,
2007-03-08,06:00,,,68,70,,,,,
2007-03-08,07:00,,,79,84,,,,,
2007-03-08,08:00,,,55,74,,,,,
2007-03-08,09:00,,,70,77,,,,,
2007-03-09,,,,,,,44,,,
2007-03-09,15:00,,,32,52,,,,,
2007-03-09,16:00,,,19,45,,,,,
2007-03-09,17:00,,,52,72,,,,,
2007-03-09,18:00,,,51,76,,,,,
2007-03-09,19:00,,,65,85,,,,,
2007-03-09,20:00,,,49,74,,,,,
2007-03-09,21:00,,,21,50,,,,,
2007-03-09,22:00,,,21,50,,,,,
2007-03-09,23:00,,,8,32,,,,,
2007-03-10,,,,,,,33,,,
2007-03-10,00:00,,,16,42,,,,,
2007-03-10,01:00,,,14,31,,,,,
2007-03-10,02:00,,,15,27,,,,,
2007-03-10,03:00,,,12,20,,,,,
2007-03-10,04:00,,,5,20,,,,,
2007-03-10,05:00,,,9,20,,,,,
2007-03-10,06:00,,,14,20,,,,,
2007-03-10,07:00,,,16,24,,,,,
2007-03-10,08:00,,,19,26,,,,,
2007-03-10,09:00,,,23,32,,,,,
2007-03-10,10:00,,,23,34,,,,,
2007-03-10,11:00,,,22,34,,,,,
2007-03-10,12:00,,,37,47,,,,,
2007-03-10,13:00,,,34,42,,,,,
2007-03-10,14:00,,,22,30,,,,,
2007-03-10,15:00,,,22,35,,,,,
2007-03-10,16:00,,,14,35,,,,,
2007-03-10,17:00,,,18,39,,,,,
2007-03-10,18:00,,,15,37,,,,,
2007-03-10,19:00,,,42,74,,,,,
2007-03-10,20:00,,,60,80,,,,,
2007-03-10,21:00,,,32,61,,,,,
2007-03-10,22:00,,,54,69,,,,,
2007-03-10,23:00,,,29,56,,,,,
2007-03-11,,,,,,,40,,,
2007-03-11,00:00,,,14,41,,,,,
2007-03-11,01:00,,,24,41,,,,,
2007-03-11,02:00,,,20,37,,,,,
2007-03-11,03:00,,,9,29,,,,,
2007-03-11,04:00,,,9,27,,,,,
2007-03-11,05:00,,,16,33,,,,,
2007-03-11,06:00,,,14,29,,,,,
2007-03-11,07:00,,,6,23,,,,,
2007-03-11,08:00,,,9,28,,,,,
2007-03-11,09:00,,,18,31,,,,,
2007-03-11,10:00,,,11,25,,,,,
2007-03-11,11:00,,,10,23,,,,,
2007-03-11,12:00,,,8,24,,,,,
2007-03-11,13:00,,,13,28,,,,,
2007-03-11,14:00,,,12,26,,,,,
2007-03-11,15:00,,,12,26,,,,,
2007-03-11,16:00,,,11,28,,,,,
2007-03-11,17:00,,,13,33,,,,,
2007-03-11,18:00,,,39,61,,,,,
2007-03-11,19:00,,,60,83,,,,,
2007-03-11,20:00,,,66,86,,,,,
2007-03-11,21:00,,,64,81,,,,,
2007-03-11,22:00,,,90,85,,,,,
2007-03-11,23:00,,,24,60,,,,,
2007-03-12,,,,,,,46,,,
2007-03-12,00:00,,,11,45,,,,,
2007-03-12,01:00,,,2,30,,,,,
2007-03-12,02:00,,,4,32,,,,,
2007-03-12,03:00,,,5,31,,,,,
2007-03-12,04:00,,,5,32,,,,,
2007-03-12,05:00,,,22,41,,,,,
2007-03-12,06:00,,,19,38,,,,,
2007-03-12,07:00,,,34,50,,,,,
2007-03-12,08:00,,,85,66,,,,,
2007-03-12,09:00,,,77,63,,,,,
2007-03-12,10:00,,,63,55,,,,,
2007-03-12,11:00,,,145,108,,,,,
2007-03-12,12:00,,,111,98,,,,,
2007-03-12,13:00,,,102,97,,,,,
2007-03-12,14:00,,,91,83,,,,,
2007-03-12,15:00,,,87,87,,,,,
2007-03-12,16:00,,,85,89,,,,,
2007-03-12,17:00,,,69,88,,,,,
2007-03-12,18:00,,,72,97,,,,,
2007-03-12,19:00,,,90,113,,,,,
2007-03-12,20:00,,,94,101,,,,,
2007-03-12,21:00,,,72,95,,,,,
2007-03-12,22:00,,,72,87,,,,,
2007-03-12,23:00,,,93,89,,,,,
2007-03-13,,,,,,,56,,,
