Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-08,06:00,,0.1,1,11,50,,,2.4
2000-03-08,07:00,,0.1,1,13,47,,,1.3
2000-03-08,08:00,,0.1,,,,,,1.9
2000-03-08,09:00,,0.1,2,24,35,,,2.2
2000-03-08,10:00,,0.1,1,23,36,,,2.1
2000-03-08,11:00,,0.1,2,20,40,,,1.6
2000-03-08,12:00,,0.1,1,18,46,,,1.2
2000-03-08,13:00,,0.1,1,19,46,,,
2000-03-08,14:00,,0.1,1,19,44,,,1.3
2000-03-08,15:00,,0.1,1,19,43,,,1.3
2000-03-08,16:00,,0.1,1,19,44,,,1.3
2000-03-08,17:00,,0.1,1,19,43,,,1.4
2000-03-08,18:00,,0.1,1,19,43,,,1.9
2000-03-08,19:00,,0.1,1,18,45,,,1.5
2000-03-08,20:00,,0.1,1,16,46,,,1.6
2000-03-08,21:00,,0.1,1,17,43,,,1.3
2000-03-08,22:00,,,1,17,41,,,1.0
2000-03-08,23:00,,0.1,1,17,39,,,1.2
2000-03-09,,,,,,,4,,
2000-03-09,00:00,,0.1,1,17,37,,,1.2
2000-03-09,01:00,,0.1,1,15,37,,,1.0
2000-03-09,02:00,,0.1,1,14,36,,,1.0
2000-03-09,03:00,,0.1,1,14,36,,,1.9
2000-03-09,04:00,,0.1,1,13,37,,,1.2
2000-03-09,05:00,,0.1,1,12,38,,,1.3
2000-03-09,06:00,,0.1,1,12,37,,,1.1
2000-03-09,07:00,,0.1,1,15,,,,1.2
2000-03-09,08:00,,0.1,,,38,,,1.0
2000-03-09,09:00,,0.1,1,17,36,,,1.3
2000-03-09,10:00,,0.1,1,15,41,,,
2000-03-09,11:00,,0.1,1,13,49,,,
2000-03-09,12:00,,0.1,2,13,43,,,2.4
2000-03-09,13:00,,0.1,1,13,52,,,3.0
2000-03-09,14:00,,0.1,1,6,77,,,1.5
2000-03-09,15:00,,0.1,1,7,74,,,1.5
2000-03-09,16:00,,0.1,1,7,76,,,1.3
2000-03-09,17:00,,0.1,1,8,75,,,1.2
2000-03-09,18:00,,0.1,1,8,72,,,1.6
2000-03-09,19:00,,0.1,1,8,70,,,1.4
2000-03-09,20:00,,0.1,1,7,72,,,1.6
2000-03-09,21:00,,0.1,1,6,75,,,1.3
2000-03-09,22:00,,0.1,1,5,80,,,1.3
2000-03-09,23:00,,0.1,1,4,80,,,1.3
2000-03-10,,,,,,,11,,
2000-03-10,00:00,,0.1,1,5,78,,,1.4
2000-03-10,01:00,,0.1,1,5,74,,,1.0
2000-03-10,02:00,,0.1,1,5,68,,,1.0
2000-03-10,03:00,,0.1,1,5,66,,,1.0
2000-03-10,04:00,,0.1,1,6,59,,,1.8
2000-03-10,05:00,,0.1,1,5,64,,,1.6
2000-03-10,06:00,,0.1,1,5,62,,,1.3
2000-03-10,07:00,,0.1,,,,,,1.5
2000-03-10,08:00,,0.1,1,12,55,,,1.8
2000-03-10,09:00,,0.1,8,15,54,,,1.9
2000-03-10,10:00,,0.1,1,9,64,,,
2000-03-10,11:00,,0.1,1,8,69,,,1.6
2000-03-10,12:00,,0.1,1,6,75,,,1.3
2000-03-10,13:00,,0.1,1,6,75,,,1.7
2000-03-10,14:00,,0.1,1,9,74,,,1.5
2000-03-10,15:00,,0.1,2,8,75,,,1.7
2000-03-10,16:00,,0.1,1,7,75,,,1.9
2000-03-10,17:00,,0.1,1,8,74,,,1.4
2000-03-10,18:00,,0.1,1,9,69,,,1.6
2000-03-10,19:00,,0.1,1,18,60,,,3.0
2000-03-10,20:00,,0.1,1,18,59,,,3.3
2000-03-10,21:00,,,1,23,51,,,4.7
2000-03-10,22:00,,0.1,1,45,27,,,6.1
2000-03-10,23:00,,0.1,1,34,35,,,6.2
2000-03-11,,,,,,,6,,
2000-03-11,00:00,,0.2,1,47,21,,,5.6
2000-03-11,01:00,,0.2,1,35,30,,,3.8
2000-03-11,02:00,,0.1,1,22,47,,,1.2
2000-03-11,03:00,,0.1,1,16,58,,,1.3
2000-03-11,04:00,,0.1,1,26,45,,,9.7
2000-03-11,05:00,,0.1,1,23,41,,,8.9
2000-03-11,06:00,,0.1,1,17,,,,2.6
2000-03-11,07:00,,0.1,,,35,,,1.9
2000-03-11,08:00,,0.1,1,15,35,,,1.0
2000-03-11,09:00,,0.1,1,14,40,,,1.0
2000-03-11,10:00,,0.1,1,12,47,,,
2000-03-11,11:00,,0.1,1,11,50,,,1.2
2000-03-11,12:00,,0.1,1,11,52,,,1.4
2000-03-11,13:00,,0.1,1,10,63,,,2.5
2000-03-11,14:00,,0.1,1,9,72,,,1.2
2000-03-11,15:00,,0.1,1,6,80,,,1.0
2000-03-11,16:00,,0.1,1,5,82,,,1.0
2000-03-11,17:00,,0.1,1,5,84,,,1.0
2000-03-11,18:00,,0.1,1,5,82,,,1.0
2000-03-11,19:00,,0.1,1,6,80,,,1.0
2000-03-11,20:00,,0.1,1,7,79,,,1.0
2000-03-11,21:00,,0.1,1,5,79,,,1.0
2000-03-11,22:00,,0.1,1,6,79,,,1.0
2000-03-11,23:00,,0.1,1,5,77,,,1.0
2000-03-12,,,,,,,13,,
2000-03-12,00:00,,0.1,1,7,59,,,1.0
2000-03-12,01:00,,0.1,1,8,50,,,1.3
2000-03-12,02:00,,0.1,1,7,52,,,1.9
2000-03-12,03:00,,0.1,1,5,56,,,2.0
2000-03-12,04:00,,0.1,1,5,61,,,2.4
2000-03-12,05:00,,0.1,1,4,63,,,2.4
2000-03-12,06:00,,0.1,,,,,,2.9
2000-03-12,07:00,,0.1,1,6,58,,,3.4
2000-03-12,08:00,,0.1,1,5,60,,,3.2
2000-03-12,09:00,,0.1,1,6,59,,,
2000-03-12,10:00,,0.1,1,8,62,,,5.3
2000-03-12,11:00,,0.1,1,6,66,,,4.5
2000-03-12,12:00,,0.1,1,7,65,,,3.5
2000-03-12,13:00,,0.1,1,6,67,,,4.1
2000-03-12,14:00,,0.1,1,6,71,,,2.5
2000-03-12,15:00,,0.1,1,7,70,,,2.6
2000-03-12,16:00,,0.1,1,8,70,,,2.6
2000-03-12,17:00,,0.1,1,9,67,,,3.2
2000-03-12,18:00,,0.1,1,12,63,,,4.1
2000-03-12,19:00,,0.1,1,13,58,,,3.9
2000-03-12,20:00,,0.1,1,18,53,,,5.1
2000-03-12,21:00,,,1,40,29,,,9.3
2000-03-12,22:00,,0.3,1,43,22,,,11.1
2000-03-12,23:00,,0.2,1,40,23,,,9.6
2000-03-13,,,,,,,14,,
2000-03-13,00:00,,0.2,1,34,27,,,6.8
2000-03-13,01:00,,0.1,1,33,28,,,7.0
2000-03-13,02:00,,0.1,1,32,28,,,6.4
2000-03-13,03:00,,0.1,1,23,28,,,6.5
2000-03-13,04:00,,0.1,1,22,25,,,6.2
2000-03-13,05:00,,0.1,1,26,,,,6.6
2000-03-13,06:00,,0.1,,,19,,,5.9
2000-03-13,07:00,,0.2,8,45,5,,,6.5
2000-03-13,08:00,,0.3,25,53,6,,,8.3
2000-03-13,09:00,,0.3,25,51,10,,,
2000-03-13,10:00,,0.2,9,36,24,,,6.0
2000-03-13,11:00,,0.1,5,21,40,,,8.8
2000-03-13,12:00,,0.1,3,16,48,,,4.2
2000-03-13,13:00,,0.1,3,17,51,,,2.7
2000-03-13,14:00,,0.1,2,18,56,,,3.6
